date,nav
2015-04-17,29.8247
2015-04-16,30.2768
2015-04-15,30.5704
2015-04-13,30.895
2015-04-10,30.7265
2015-04-09,30.626
2015-04-08,30.5693
2015-04-07,30.2573
2015-04-06,30.1043
2015-04-01,29.7617
2015-03-31,29.6165
2015-03-30,29.579
2015-03-27,29.0786
2015-03-26,29.1239
2015-03-25,29.5048
2015-03-24,29.5857
2015-03-23,29.4091
2015-03-20,29.8657
2015-03-19,30.1156
2015-03-18,30.2292
2015-03-17,30.2949
2015-03-16,30.175
2015-03-13,30.4283
2015-03-12,30.8663
2015-03-11,30.5629
2015-03-10,30.5949
2015-03-09,30.5458
2015-03-05,30.894
2015-03-04,30.7167
2015-03-03,31.1432
2015-03-02,30.9274
2015-02-27,30.3064
2015-02-26,29.8691
2015-02-25,30.1022
2015-02-24,30.1765
2015-02-23,30.0867
2015-02-20,30.278
2015-02-19,30.313
2015-02-18,30.36
2015-02-16,30.1628
2015-02-13,30.159
2015-02-12,29.8864
2015-02-11,29.5961
2015-02-10,29.4002
2015-02-09,29.3093
2015-02-06,29.6818
2015-02-05,29.9651
2015-02-04,29.9309
2015-02-03,30.1186
2015-02-02,30.1786
2015-01-30,30.0004
2015-01-29,30.2645
2015-01-28,30.3354
2015-01-27,30.3465
2015-01-23,30.3376
2015-01-22,30.3152
2015-01-21,30.0707
2015-01-20,30.0095
2015-01-19,29.682
2015-01-16,29.6326
2015-01-15,29.5918
2015-01-14,29.1115
2015-01-13,29.0299
2015-01-12,29.0337
2015-01-09,28.8193
2015-01-08,28.6606
2015-01-07,28.2146
2015-01-06,28.2564
2015-01-05,28.8828
2015-01-02,28.8455
2015-01-01,28.6998
2014-12-31,28.5028
2014-12-30,28.4057
2014-12-29,28.2805
2014-12-26,28.0313
2014-12-24,27.9425
2014-12-23,28.1871
2014-12-22,28.2616
2014-12-19,27.8064
2014-12-18,27.604
2014-12-17,27.063
2014-12-16,27.2929
2014-12-15,27.9835
2014-12-12,27.9869
2014-12-11,28.1644
2014-12-10,28.2174
2014-12-09,28.1242
2014-12-08,28.4084
2014-12-05,28.7226
2014-12-04,28.829
2014-12-03,28.7646
2014-12-02,28.4415
2014-12-01,28.3337
2014-11-28,28.4399
2014-11-27,28.1934
2014-11-26,27.9864
2014-11-25,27.9543
2014-11-24,28.2563
2014-11-21,28.2352
2014-11-20,28.314
2014-11-19,28.2391
2014-11-18,28.3603
2014-11-17,28.1446
2014-11-14,27.946
2014-11-13,28.006
2014-11-12,27.8667
2014-11-11,27.8175
2014-11-10,27.5816
2014-11-07,27.5075
2014-11-05,27.529
2014-11-03,27.5971
2014-10-31,27.2593
2014-10-30,26.9473
2014-10-29,26.9208
2014-10-28,26.8012
2014-10-27,26.7516
2014-10-22,26.5725
2014-10-21,26.2525
2014-10-20,26.146
2014-10-17,26.0361
2014-10-16,26.0017
2014-10-14,26.5719
2014-10-13,26.5912
2014-10-10,26.5491
2014-10-09,26.9023
2014-10-08,26.616
2014-10-07,26.8369
2014-10-01,27.1777
2014-09-30,27.1972
2014-09-29,27.1222
2014-09-26,26.846
2014-09-25,26.5604
2014-09-24,26.9997
2014-09-23,27.0168
2014-09-22,27.5027
2014-09-19,27.3158
2014-09-18,27.2642
2014-09-17,26.7286
2014-09-16,26.7296
2014-09-15,27.5714
2014-09-12,27.6617
2014-09-11,27.5213
2014-09-10,27.0594
2014-09-09,26.9931
2014-09-08,26.9301
2014-09-05,26.5519
2014-09-04,26.426
2014-09-03,26.3054
2014-09-02,26.1171
2014-09-01,25.8163
2014-08-28,25.5363
2014-08-27,25.5217
2014-08-26,25.3955
2014-08-25,25.3123
2014-08-22,25.391
2014-08-21,25.3064
2014-08-20,25.255
2014-08-19,25.2388
2014-08-18,25.0026
2014-08-14,24.5354
2014-08-13,24.3857
2014-08-12,24.7747
2014-08-11,24.4754
2014-08-08,24.2873
2014-08-07,24.6489
2014-08-06,24.7154
2014-08-05,24.7984
2014-08-04,24.5226
2014-08-01,24.3321
2014-07-31,24.4799
2014-07-30,24.5734
2014-07-28,24.5456
2014-07-25,24.6942
2014-07-24,25.0771
2014-07-23,25.0866
2014-07-22,25.1357
2014-07-21,25.103
2014-07-18,25.0705
2014-07-17,25.103
2014-07-16,24.7968
2014-07-15,24.4924
2014-07-14,24.0237
2014-07-11,23.9048
2014-07-10,24.6878
2014-07-09,24.5206
2014-07-08,24.7695
2014-07-07,25.6567
2014-07-04,25.6068
2014-07-03,25.4867
2014-07-02,25.4726
2014-07-01,25.0866
2014-06-30,25.0702
2014-06-27,24.6127
2014-06-26,24.5343
2014-06-25,24.5822
2014-06-24,24.5123
2014-06-23,24.3652
2014-06-20,24.1366
2014-06-19,24.2433
2014-06-18,24.3728
2014-06-17,24.5514
2014-06-16,24.1479
2014-06-13,24.0563
2014-06-12,24.5418
2014-06-11,24.5379
2014-06-10,25.0178
2014-06-09,25.1171
2014-06-06,24.8982
2014-06-05,24.498
2014-06-04,24.3105
2014-06-03,24.0978
2014-06-02,23.8805
2014-05-30,23.6056
2014-05-29,23.367
2014-05-28,23.5837
2014-05-27,23.5132
2014-05-26,23.6606
2014-05-23,23.8916
2014-05-22,23.5973
2014-05-21,23.2041
2014-05-20,23.0837
2014-05-19,22.9394
2014-05-16,22.2714
2014-05-15,21.9729
2014-05-14,22.113
2014-05-13,21.9812
2014-05-12,21.7456
2014-05-09,21.4088
2014-05-08,20.989
2014-05-07,20.9937
2014-05-06,21.1517
2014-05-05,21.0615
2014-05-02,21.1459
2014-04-30,21.0411
2014-04-29,21.0994
2014-04-28,21.1955
2014-04-25,21.2426
2014-04-23,21.3153
2014-04-22,21.3127
2014-04-21,21.2774
2014-04-17,21.1895
2014-04-16,20.9609
2014-04-15,21.1652
2014-04-11,21.2469
2014-04-10,21.2306
2014-04-09,21.1082
2014-04-07,20.96
2014-04-04,20.9721
2014-04-03,20.9905
2014-04-02,20.9832
2014-04-01,20.8475
2014-03-31,20.8517
2014-03-28,20.7007
2014-03-27,20.4468
2014-03-26,20.3512
2014-03-25,20.4193
2014-03-24,20.3262
2014-03-21,20.2177
2014-03-20,20.1307
2014-03-19,20.0225
2014-03-18,20.0344
2014-03-14,19.9317
2014-03-13,19.8842
2014-03-12,20.0757
2014-03-11,20.0402
2014-03-10,19.998
2014-03-07,20.0125
2014-03-06,20.2273
2014-03-05,20.0779
2014-03-04,19.9952
2014-03-03,19.8366
2014-02-28,19.9134
2014-02-26,19.7543
2014-02-25,19.7405
2014-02-24,19.6485
2014-02-21,19.4752
2014-02-20,19.3171
2014-02-19,19.4099
2014-02-18,19.3103
2014-02-17,19.2415
2014-02-14,19.1592
2014-02-13,19.1004
2014-02-12,19.3945
2014-02-11,19.3049
2014-02-10,19.3112
2014-02-07,19.2448
2014-02-06,19.1908
2014-02-05,19.2062
2014-02-04,19.0623
2014-02-03,19.119
2014-01-31,19.1916
2014-01-30,18.9125
2014-01-29,19.0465
2014-01-28,18.9461
2014-01-27,18.9828
2014-01-24,19.2538
2014-01-23,19.5018
2014-01-22,19.6353
2014-01-21,19.6285
2014-01-20,19.6894
2014-01-17,19.5648
2014-01-16,19.7909
2014-01-15,19.7831
2014-01-14,19.6755
2014-01-13,19.7349
2014-01-10,19.56
2014-01-09,19.6003
2014-01-08,19.7106
2014-01-07,19.6215
2014-01-06,19.7557
2014-01-03,19.7444
2014-01-02,19.6358
2014-01-01,19.8233
2013-12-31,19.7749
2013-12-30,19.7509
2013-12-27,19.7035
2013-12-26,19.5727
2013-12-24,19.628
2013-12-23,19.5955
2013-12-20,19.5117
2013-12-19,19.1648
2013-12-18,19.1329
2013-12-17,18.9345
2013-12-16,18.8323
2013-12-13,18.6304
2013-12-12,18.7732
2013-12-11,18.8948
2013-12-10,18.9491
2013-12-09,18.9382
2013-12-06,18.7926
